Be cool.	Entspann dich!
Beat it.	Verschwinde!
Beat it.	Mach die Sause!
Beat it.	Scher dich fort!
Go away.	Troll dich!
Go home.	Geh heim.
Lock it.	Schließ ihn ab.
Take it.	Nehmt es.
Wait up.	Warten Sie mal!
Wake up!	Wach auf!
Who ran?	Wer rannte?
Ask them.	Frag sie.
Fix this.	Reparieren Sie das.
Get away!	Pack dich!
Get lost!	Mach ’ne Fliege!
Have fun.	Viel Spaß!
Help Tom.	Helft Tom!
I helped.	Ich half.
I'm lost.	Ich habe mich verirrt.
I'm well.	Mir geht es gut.
It's hot.	Er ist heiß.
Keep out!	Eintritt verboten!
Let's go!	Lasst uns gehen.
Sit down.	Setz dich!
Warn Tom.	Warne Tom.
Who died?	Wer ist gestorben?
Am I late?	Bin ich zu spät?
Chill out.	Entspann dich.
Excuse me.	Entschuldigung.
Feel this.	Fühl mal.
He's a DJ.	Er ist Plattenaufleger.
I give in.	Ich füge mich.
I promise.	Ich verspreche es.
I'd do it.	Ich würde es tun.
I'm bored.	Mir ist langweilig.
I'm sober.	Ich bin nüchtern.
Is it far?	Ist das weit?
Is it hot?	Ist es heiß?
It's easy.	Es ist einfach.
It's mine.	Es ist meins.
Keep away.	Bleib weg.
Loosen it.	Dreh es auf.
Sign this.	Unterschreib das.
Sit tight.	Harre aus!
Take this.	Nimm das.
Tom dozed.	Tom döste.
Who's she?	Wer ist sie?
Are you OK?	Geht es euch gut?
Be careful.	Sei vorsichtig!
Be careful.	Gib Obacht!
Be careful.	Gib acht!
Check this.	Überprüfen Sie das.
Come on in!	Komm rein!
Do come in.	Kommen Sie bitte herein.
Don't peek.	Nicht gucken!
God exists.	Gott existiert.
He gave in.	Er gab auf.
He's lying.	Er lügt.
I am happy.	Ich bin glücklich.
I am ready.	Ich bin fertig.
I can wait.	Ich kann warten.
I like him.	Ich mag ihn.
I met them.	Ich traf sie.
I ran away.	Ich rannte davon.
I resigned.	Ich trat zurück.
I shot Tom.	Ich schoss auf Tom.
I will try.	Ich werde es versuchen.
I'm in bed.	Ich bin im Bett.
I'm so fat.	Ich bin so dick.
It's great.	Es ist großartig.
It's night.	Es ist Nacht.
Tom paints.	Tom malt.
Tom waited.	Tom wartete.
Tom yelled.	Tom hat geschrien.
We're lazy.	Wir sind faul.
What is it?	Was gibt es?
Be creative.	Seien Sie kreativ!
Eat with us.	Esst mit uns.
Flip a coin.	Werft eine Münze.
He needs it.	Er braucht es.
He's a jerk.	Er ist ein Blödmann.
He's a liar.	Er ist ein Lügner.
I am single.	Ich bin single.
I dozed off.	Ich döste ein.
I found you.	Ich fand dich.
I hate this.	Ich hasse das.
I hesitated.	Ich zögerte.
