AdjRatioFeature	AdvRatioFeature	ArtRatioFeature	CardRatioFeature	ConjRatioFeature	EndingAble	EndingAl	EndingFul	EndingIble	EndingIc	EndingIve	EndingLess	EndingLy	EndingOus	NRatioFeature	NrofChars	NrofSentences	NrofTokens	NrofTokensPerSentence	ORatioFeature	PpRatioFeature	PrRatioFeature	PronounRatioHe	PronounRatioI	PronounRatioIt	PronounRatioShe	PronounRatioThey	PronounRatioUs	PronounRatioWe	PronounRatioYou	PuncRatioFeature	QuestionRatio	TokLenRatio	TypeTokenRatio	VRatioFeature	avgNumCharsSent	avgNumCharsToken	nrOfCommas	standardDevCharsPerSentence	standardDevCharsPerToken	standardDevTokensPerSentence	outcome
0.10137	0.086301	0.109589	0.006849	0.043836	1000	6.756757	17.567568	2.702703	0.0	0.0	8.108108	4.054054	33.333333	4.054054	0.243836	4288.0	1.0	730.0	730.0	0.0	0.165753	0.027397	0.0	0.0	0.2	0.0	0.0	0.0	0.25	0.05	0.0	0.0	1.0	0.419178	0.215068	4288.0	4.878082	0.0	0.0	2.702143	0.0	12
0.08631	0.056548	0.08631	0.005952	0.032738	1001	6.896552	10.344828	0.0	0.0	6.896552	0.0	0.0	5.263158	0.0	0.208333	1688.0	1.0	336.0	336.0	0.0	0.160714	0.136905	0.0	0.195652	0.152174	0.0	0.043478	0.021739	0.0	0.152174	0.002976	0.0	1.0	0.443452	0.223214	1688.0	4.026866	0.0	0.0	2.144593	0.0	8
0.054755	0.100865	0.069164	0.0	0.034582	1002	0.0	26.315789	5.263158	0.0	0.0	5.263158	0.0	8.571429	0.0	0.170029	1735.0	1.0	347.0	347.0	0.0	0.158501	0.146974	0.0	0.196078	0.117647	0.019608	0.156863	0.058824	0.058824	0.196078	0.0	0.0	1.0	0.449568	0.26513	1735.0	4.020173	0.0	0.0	2.068606	0.0	8
0.067568	0.067568	0.072973	0.0	0.040541	1003	0.0	0.0	0.0	8.0	0.0	4.0	0.0	4.0	4.0	0.245946	2051.0	1.0	370.0	370.0	0.0	0.17027	0.097297	0.0	0.0	0.083333	0.0	0.083333	0.0	0.027778	0.305556	0.005405	0.0	1.0	0.383784	0.232432	2051.0	4.554348	0.0	0.0	2.1334	0.0	9
0.065476	0.083333	0.065476	0.005952	0.065476	1004	18.181818	0.0	0.0	0.0	0.0	27.272727	0.0	21.428571	0.0	0.232143	941.0	1.0	168.0	168.0	0.0	0.160714	0.095238	0.0	0.1875	0.1875	0.0	0.125	0.0	0.125	0.125	0.0	0.0	1.0	0.660714	0.22619	941.0	4.607143	0.0	0.0	2.447145	0.0	6
0.040161	0.048193	0.064257	0.0	0.048193	1005	0.0	0.0	10.0	0.0	0.0	10.0	0.0	16.666667	0.0	0.317269	1417.0	1.0	249.0	249.0	0.0	0.160643	0.076305	0.0	0.263158	0.0	0.0	0.157895	0.0	0.0	0.526316	0.0	0.0	1.0	0.449799	0.24498	1417.0	4.698795	0.0	0.0	2.22112	0.0	9
0.047619	0.049887	0.081633	0.004535	0.029478	1006	14.285714	0.0	9.52381	0.0	0.0	0.0	0.0	13.636364	0.0	0.24263	2386.0	1.0	441.0	441.0	0.0	0.174603	0.120181	0.0	0.415094	0.018868	0.0	0.037736	0.037736	0.037736	0.132075	0.0	0.0	1.0	0.45805	0.249433	2386.0	4.426304	0.0	0.0	2.46603	0.0	8
0.086486	0.081081	0.110811	0.002703	0.056757	1007	0.0	12.5	9.375	0.0	0.0	6.25	0.0	16.666667	0.0	0.251351	2092.0	1.0	370.0	370.0	0.0	0.108108	0.083784	0.0	0.096774	0.064516	0.0	0.064516	0.0	0.16129	0.258065	0.0	0.0	1.0	0.521622	0.218919	2092.0	4.659459	0.0	0.0	2.572774	0.0	10
0.096838	0.098814	0.079051	0.0	0.041502	1008	0.0	0.0	0.0	6.122449	0.0	0.0	0.0	14.0	0.0	0.20751	2545.0	1.0	506.0	506.0	0.0	0.146245	0.081028	0.073171	0.243902	0.0	0.0	0.02439	0.0	0.02439	0.170732	0.005929	0.0	1.0	0.357708	0.243083	2545.0	4.023857	0.0	0.0	1.95766	0.0	10
0.037296	0.118881	0.062937	0.0	0.041958	1009	0.0	0.0	0.0	0.0	0.0	18.75	0.0	11.764706	0.0	0.198135	2285.0	1.0	429.0	429.0	0.0	0.132867	0.13986	0.0	0.066667	0.0	0.05	0.266667	0.0	0.0	0.216667	0.002331	0.0	1.0	0.426573	0.265734	2285.0	4.324766	0.0	0.0	2.006914	0.0	8
0.09205	0.041841	0.087866	0.008368	0.016736	100	0.0	4.545455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.230126	1149.0	1.0	239.0	239.0	0.0	0.142259	0.146444	0.0	0.285714	0.028571	0.0	0.0	0.0	0.0	0.171429	0.0	0.0	1.0	0.493724	0.23431	1149.0	3.832636	0.0	0.0	1.961241	0.0	7
0.064151	0.098113	0.079245	0.015094	0.056604	1010	0.0	5.882353	0.0	0.0	0.0	0.0	0.0	3.846154	0.0	0.320755	1464.0	1.0	265.0	265.0	0.0	0.135849	0.060377	0.0	0.125	0.0	0.0	0.4375	0.0	0.0	0.0	0.003774	0.0	1.0	0.415094	0.166038	1464.0	4.518939	0.0	0.0	1.965522	0.0	8
0.077859	0.10219	0.090024	0.009732	0.041363	1011	3.125	0.0	0.0	3.125	3.125	6.25	3.125	11.904762	3.125	0.255474	2293.0	1.0	411.0	411.0	0.0	0.148418	0.058394	0.0	0.0	0.125	0.0	0.458333	0.0	0.0	0.041667	0.0	0.0	1.0	0.467153	0.216545	2292.0	4.583942	0.0	0.0	2.254951	0.0	8
0.095238	0.064426	0.07563	0.0	0.005602	1012	5.882353	20.588235	5.882353	0.0	0.0	0.0	0.0	8.695652	0.0	0.252101	1992.0	1.0	357.0	357.0	0.0	0.134454	0.156863	0.0	0.125	0.107143	0.0	0.0	0.142857	0.053571	0.214286	0.0	0.0	1.0	0.484594	0.215686	1992.0	4.560224	0.0	0.0	2.371608	0.0	9
0.056213	0.073964	0.109467	0.008876	0.026627	1013	0.0	5.263158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213018	1646.0	1.0	338.0	338.0	0.0	0.153846	0.106509	0.0	0.111111	0.111111	0.0	0.111111	0.0	0.0	0.166667	0.0	0.0	1.0	0.343195	0.251479	1646.0	3.872781	0.0	0.0	1.785485	0.0	7
0.075145	0.075145	0.052023	0.00578	0.023121	1014	0.0	3.846154	0.0	0.0	0.0	0.0	0.0	7.692308	0.0	0.234104	1926.0	1.0	346.0	346.0	0.0	0.16185	0.141618	0.0	0.040816	0.040816	0.0	0.204082	0.061224	0.081633	0.163265	0.0	0.0	1.0	0.514451	0.231214	1926.0	4.583815	0.0	0.0	2.146424	0.0	8
0.050584	0.095331	0.085603	0.001946	0.035019	1015	0.0	11.538462	0.0	0.0	0.0	11.538462	0.0	6.122449	0.0	0.173152	2520.0	1.0	514.0	514.0	0.0	0.175097	0.132296	0.0	0.117647	0.0	0.029412	0.014706	0.0	0.0	0.426471	0.003891	0.0	1.0	0.416342	0.247082	2520.0	3.919922	0.0	0.0	1.836967	0.0	10
0.039855	0.061594	0.086957	0.003623	0.054348	1016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.647059	0.0	0.199275	1411.0	1.0	276.0	276.0	0.0	0.144928	0.163043	0.0	0.133333	0.088889	0.0	0.044444	0.0	0.0	0.511111	0.0	0.0	1.0	0.438406	0.246377	1411.0	4.123188	0.0	0.0	2.046393	0.0	8
0.075676	0.056757	0.064865	0.0	0.035135	1017	0.0	7.142857	0.0	0.0	0.0	0.0	3.571429	0.0	0.0	0.202703	1878.0	1.0	370.0	370.0	0.0	0.156757	0.156757	0.0	0.017241	0.034483	0.0	0.068966	0.017241	0.0	0.327586	0.0	0.0	1.0	0.348649	0.251351	1878.0	4.113514	0.0	0.0	1.916664	0.0	8
0.086	0.088	0.09	0.002	0.018	1018	0.0	2.325581	6.976744	2.325581	0.0	4.651163	0.0	15.909091	4.651163	0.252	2964.0	1.0	500.0	500.0	0.0	0.162	0.062	0.0	0.129032	0.225806	0.0	0.032258	0.032258	0.0	0.225806	0.004	0.0	1.0	0.556	0.236	2964.0	4.921687	0.0	0.0	2.736025	0.0	10
0.090426	0.055851	0.095745	0.00266	0.031915	1019	14.705882	2.941176	0.0	2.941176	2.941176	2.941176	0.0	14.285714	0.0	0.204787	1965.0	1.0	376.0	376.0	0.0	0.172872	0.109043	0.0	0.195122	0.170732	0.02439	0.02439	0.02439	0.04878	0.146341	0.0	0.0	1.0	0.529255	0.236702	1965.0	4.231383	0.0	0.0	2.271979	0.0	10
0.055437	0.095949	0.091684	0.006397	0.053305	101	3.846154	3.846154	7.692308	0.0	3.846154	3.846154	0.0	2.222222	0.0	0.245203	2552.0	1.0	469.0	469.0	0.0	0.142857	0.074627	0.0	0.142857	0.028571	0.0	0.314286	0.0	0.028571	0.228571	0.0	0.0	1.0	0.458422	0.232409	2552.0	4.447761	0.0	0.0	2.245094	0.0	10
0.060837	0.072243	0.095057	0.0	0.057034	1020	0.0	12.5	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.231939	1370.0	1.0	263.0	263.0	0.0	0.140684	0.136882	0.0	0.083333	0.083333	0.0	0.166667	0.0	0.0	0.055556	0.0	0.0	1.0	0.51711	0.205323	1370.0	4.21673	0.0	0.0	1.856697	0.0	8
0.056433	0.036117	0.081264	0.002257	0.047404	1021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.252822	2329.0	1.0	443.0	443.0	0.0	0.189616	0.119639	0.0	0.056604	0.245283	0.0	0.056604	0.0	0.0	0.377358	0.0	0.0	1.0	0.408578	0.214447	2329.0	4.268623	0.0	0.0	2.128509	0.0	9
0.084829	0.073409	0.106036	0.001631	0.029364	1022	0.0	11.538462	1.923077	0.0	1.923077	9.615385	0.0	20.0	0.0	0.265905	3456.0	1.0	613.0	613.0	0.0	0.141925	0.075041	0.0	0.043478	0.130435	0.0	0.130435	0.043478	0.108696	0.152174	0.0	0.0	1.0	0.438825	0.22186	3456.0	4.641109	0.0	0.0	2.272986	0.0	11
0.02847	0.071174	0.05694	0.010676	0.02847	1023	0.0	12.5	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.213523	1322.0	1.0	281.0	281.0	0.0	0.156584	0.174377	0.0	0.122449	0.0	0.0	0.0	0.0	0.061224	0.469388	0.0	0.0	1.0	0.448399	0.259786	1322.0	3.725979	0.0	0.0	1.687193	0.0	8
0.049528	0.068396	0.075472	0.002358	0.023585	1024	0.0	9.52381	0.0	0.0	4.761905	0.0	0.0	0.0	0.0	0.257075	2217.0	1.0	424.0	424.0	0.0	0.158019	0.115566	0.0	0.163265	0.142857	0.0	0.122449	0.040816	0.040816	0.204082	0.002358	0.0	1.0	0.464623	0.247642	2217.0	4.234043	0.0	0.0	2.143675	0.0	9
0.098214	0.056548	0.080357	0.002976	0.041667	1025	6.060606	3.030303	6.060606	0.0	0.0	9.090909	0.0	15.789474	6.060606	0.238095	1845.0	1.0	336.0	336.0	0.0	0.166667	0.08631	0.0	0.103448	0.034483	0.0	0.137931	0.0	0.034483	0.344828	0.0	0.0	1.0	0.502976	0.229167	1845.0	4.505952	0.0	0.0	2.3629	0.0	8
0.056338	0.058685	0.093897	0.004695	0.030516	1026	0.0	0.0	4.166667	0.0	4.166667	0.0	0.0	0.0	0.0	0.237089	2205.0	1.0	426.0	426.0	0.0	0.173709	0.107981	0.0	0.217391	0.0	0.0	0.0	0.0	0.0	0.304348	0.0	0.0	1.0	0.438967	0.232394	2205.0	4.204225	0.0	0.0	2.309011	0.0	10
0.046575	0.093151	0.09863	0.00274	0.038356	1027	0.0	5.882353	0.0	0.0	0.0	0.0	5.882353	11.764706	0.0	0.19726	1810.0	1.0	365.0	365.0	0.0	0.134247	0.131507	0.0	0.104167	0.0	0.0	0.083333	0.0	0.0	0.645833	0.0	0.0	1.0	0.410959	0.257534	1810.0	4.00274	0.0	0.0	2.010246	0.0	8
0.059034	0.093023	0.08229	0.005367	0.053667	1028	3.030303	6.060606	12.121212	0.0	0.0	0.0	0.0	15.384615	0.0	0.254025	3177.0	1.0	559.0	559.0	0.0	0.16458	0.073345	0.0	0.02439	0.195122	0.0	0.390244	0.0	0.0	0.097561	0.0	0.0	1.0	0.391771	0.214669	3177.0	4.685152	0.0	0.0	2.36499	0.0	10
0.071429	0.060606	0.112554	0.0	0.045455	1029	12.121212	6.060606	6.060606	3.030303	0.0	0.0	0.0	14.285714	3.030303	0.24026	2502.0	1.0	462.0	462.0	0.0	0.160173	0.106061	0.0	0.0	0.102041	0.0	0.061224	0.040816	0.040816	0.44898	0.0	0.0	1.0	0.47619	0.203463	2502.0	4.4329	0.0	0.0	2.383847	0.0	10
0.057402	0.05136	0.120846	0.006042	0.024169	102	0.0	0.0	0.0	0.0	10.526316	5.263158	5.263158	11.764706	5.263158	0.226586	1751.0	1.0	331.0	331.0	0.0	0.178248	0.075529	0.0	0.0	0.24	0.0	0.12	0.0	0.0	0.52	0.0	0.0	1.0	0.386707	0.259819	1751.0	4.296073	0.0	0.0	2.103791	0.0	8
0.060606	0.060606	0.09596	0.0	0.030303	1030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.237374	1089.0	1.0	198.0	198.0	0.0	0.131313	0.136364	0.0	0.074074	0.148148	0.0	0.0	0.0	0.037037	0.444444	0.0	0.0	1.0	0.530303	0.247475	1089.0	4.505051	0.0	0.0	2.516105	0.0	8
0.06424	0.079229	0.085653	0.002141	0.034261	1031	3.333333	0.0	3.333333	0.0	0.0	6.666667	0.0	5.405405	0.0	0.197002	2385.0	1.0	467.0	467.0	0.0	0.192719	0.119914	0.0	0.303571	0.071429	0.053571	0.089286	0.0	0.071429	0.125	0.0	0.0	1.0	0.406852	0.224839	2385.0	4.126338	0.0	0.0	1.97172	0.0	9
0.079545	0.063636	0.090909	0.002273	0.061364	1032	0.0	8.571429	0.0	0.0	0.0	2.857143	0.0	25.0	0.0	0.254545	2434.0	1.0	440.0	440.0	0.002273	0.15	0.093182	0.0	0.04878	0.121951	0.0	0.170732	0.04878	0.04878	0.292683	0.0	0.0	1.0	0.488636	0.202273	2434.0	4.540909	0.0	0.0	2.604744	0.0	8
0.058824	0.078431	0.089325	0.0	0.030501	1033	0.0	7.407407	0.0	3.703704	3.703704	7.407407	0.0	27.777778	0.0	0.278867	2638.0	1.0	459.0	459.0	0.0	0.176471	0.069717	0.0	0.03125	0.125	0.0	0.125	0.03125	0.15625	0.125	0.0	0.0	1.0	0.520697	0.217865	2638.0	4.760349	0.0	0.0	2.575077	0.0	10
0.033333	0.091111	0.075556	0.0	0.033333	1034	6.666667	6.666667	0.0	0.0	0.0	0.0	6.666667	7.317073	0.0	0.186667	2302.0	1.0	450.0	450.0	0.0	0.208889	0.128889	0.017241	0.172414	0.068966	0.017241	0.068966	0.034483	0.12069	0.206897	0.0	0.0	1.0	0.428889	0.242222	2302.0	4.122222	0.0	0.0	2.112543	0.0	8
0.083721	0.051163	0.083721	0.0	0.032558	1035	5.555556	16.666667	0.0	0.0	0.0	11.111111	0.0	18.181818	0.0	0.274419	1267.0	1.0	215.0	215.0	0.0	0.181395	0.111628	0.0	0.083333	0.125	0.0	0.041667	0.041667	0.083333	0.25	0.0	0.0	1.0	0.651163	0.181395	1267.0	4.897674	0.0	0.0	2.60924	0.0	8
0.057851	0.082645	0.096419	0.0	0.035813	1036	9.52381	4.761905	0.0	0.0	0.0	9.52381	0.0	10.0	0.0	0.250689	1987.0	1.0	363.0	363.0	0.0	0.140496	0.088154	0.0	0.09375	0.0	0.0	0.03125	0.09375	0.03125	0.4375	0.0	0.0	1.0	0.501377	0.247934	1987.0	4.493113	0.0	0.0	2.405648	0.0	9
0.053279	0.07377	0.07377	0.0	0.028689	1037	7.692308	7.692308	0.0	0.0	0.0	0.0	0.0	5.555556	0.0	0.266393	1282.0	1.0	244.0	244.0	0.0	0.151639	0.114754	0.0	0.142857	0.035714	0.0	0.428571	0.0	0.0	0.142857	0.0	0.0	1.0	0.512295	0.237705	1282.0	4.270492	0.0	0.0	1.946147	0.0	8
0.074468	0.062057	0.079787	0.008865	0.046099	1038	0.0	11.904762	4.761905	2.380952	0.0	0.0	9.52381	5.714286	0.0	0.257092	3039.0	1.0	564.0	564.0	0.0	0.171986	0.079787	0.0	0.044444	0.133333	0.0	0.066667	0.0	0.044444	0.111111	0.0	0.0	1.0	0.416667	0.219858	3039.0	4.400709	0.0	0.0	2.170662	0.0	11
0.062827	0.060209	0.078534	0.007853	0.039267	1039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.347826	0.0	0.204188	1976.0	1.0	382.0	382.0	0.0	0.159686	0.141361	0.0	0.111111	0.055556	0.0	0.055556	0.0	0.018519	0.462963	0.002618	0.0	1.0	0.387435	0.243455	1976.0	4.188976	0.0	0.0	2.320961	0.0	8
